title_id,genre,main_rating,main_title,title_id
414609,['story' 'fantasy'],9.95,바람이 머무는 난,414609
414611,['story' 'sports'],9.51,라이징패스트볼,414611
414612,['story' 'daily' 'drama'],9.95,꽃밭에솔,414612
423376,['story' 'daily' 'drama'],9.84,비바 산티아고,423376
423377,['story' 'fantasy' 'drama'],9.87,월남특급,423377
423383,['story' 'comic' 'fantasy' 'action'],9.88,스페이스 차이나드레스,423383
423384,['story' 'fantasy'],9.96,소울카르텔,423384
423392,['story' 'fantasy' 'drama'],9.94,좀비를 위한 나라는 없다,423392
434644,['story' 'comic' 'action'],8.64,폭풍의 전학생 - 리부트,434644
440244,['story' 'fantasy'],9.95,제페토,440244
440437,['story' 'fantasy' 'thrill'],9.90,투명살인,440437
440439,['story' 'comic' 'pure'],9.90,플라스틱 걸,440439
440447,['story' 'fantasy' 'drama'],9.84,wish-마녀의 시간,440447
443421,['story' 'comic'],9.92,악당의 사연,443421
443422,['story' 'comic'],9.91,키드갱,443422
449854,['story' 'comic' 'action'],3.81,돌아온 럭키짱,449854
452116,['story' 'drama' 'pure'],9.96,MY OH,452116
452117,['story' 'comic'],9.94,미숙한 친구는 G구인,452117
459545,['story' 'drama' 'pure'],9.96,당신만 몰라!,459545
459546,['story' 'drama'],9.94,삼봉이발소,459546
460686,['story' 'drama' 'pure'],9.94,아는사람 이야기,460686
460687,['omnibus' 'drama'],9.95,아이들의 권 선생님,460687
460688,['story' 'fantasy' 'thrill'],9.96,노네임드(NoNameD),460688
460689,['story' 'drama'],9.94,기타맨,460689
462900,['story' 'fantasy' 'drama'],9.96,한줌물망초,462900
471181,['story' 'action'],9.88,기사도,471181
471283,['episode' 'daily'],9.71,모두에게 완자가,471283
471284,['story' 'thrill'],9.37,후유증,471284
471286,['story' 'comic' 'action'],9.94,키드갱 시즌2,471286
478262,['story' 'fantasy' 'action'],9.95,레사(lessa),478262
481793,['story' 'drama' 'pure'],9.24,ENT.,481793
483613,['story' 'action'],9.93,킬러분식,483613
483796,['story' 'fantasy' 'thrill'],9.74,강시대소동,483796
490549,['omnibus' 'fantasy' 'drama'],9.26,2012 지구가 멸망한다면?,490549
492659,['story' 'pure'],9.93,사랑일까?,492659
495498,['story' 'comic' 'drama'],9.55,빵점동맹,495498
497180,['story' 'fantasy' 'action'],9.95,언더클래스 히어로,497180
498158,['episode' 'comic'],9.63,네이버 앱피소드,498158
499334,['omnibus' 'drama'],9.49,지옥캠프 단편선 시즌2,499334
500943,['story' 'thrill'],9.70,새벽9시,500943
500944,['story' 'drama'],9.93,무한동력,500944
500945,['omnibus' 'daily'],9.95,한 살이라도 어릴 때,500945
502673,['story' 'fantasy'],9.69,파라다이스,502673
